time_range,revenue_in_usd,no_of_sales,price,url,rating,comments_count,category_path,tags
2025-12 Week 3,2842.0,58,49.0,https://codecanyon.net/item/filter-everything-wordpress-woocommerce-filter/31634508,4.91,298,Home / Files / WordPress / eCommerce / WooCommerce,"ajax filter, ajax product, ajax product filter, filter, post type filter, price filter, product filter, Product Filter for WooCommerce, woocommerce ajax filter, woocommerce filter, woocommerce filter plugin, woocommerce product filter, wordpress filter, wordpress filter plugin, wp ajax filter"
2025-12 Week 3,2303.0,47,49.0,https://codecanyon.net/item/media-folders-manager-for-wordpress/21715379,4.88,1,Home / Files / WordPress / Media,"export, file manager, filebird, gallery, image gallery, media folders, media library, post types, wordpress download media library, wordpress file manager, wordpress folders, wordpress media folder, wordpress media library, wordpress media library folders, wp media folder"
2025-12 Week 3,2210.0,34,65.0,https://codecanyon.net/item/perfex-powerful-open-source-crm/14013737,4.89,1,Home / Files / PHP Scripts / Project Management Tools,"client management, codeigniter, crm, estimates, expenses, invoice, lead management system, leads, project management, proposals, Recurring Invoice, support ticket, surveys, task, task management"
2025-12 Week 3,1989.0,51,39.0,https://codecanyon.net/item/magicai-openai-content-text-image-chat-code-generator-as-saas/45408109,4.92,378,Home / Files / PHP Scripts,"ai, ai assistant, ai chat, ai generator, ai image, ai video, ai writer, chat gpt, chatbot, dall-e, gpt4, open ai, saas, voice generator"
2025-12 Week 3,1711.0,29,59.0,https://codecanyon.net/item/agile-store-locator-google-maps-for-wordpress/16973546,4.94,411,Home / Files / WordPress / eCommerce / WooCommerce,"dealer locator, directions, find store, google maps, location finder, locations, maps, markers, multi-store, search widget, store finder, store locator, where to buy, woocommerce"
2025-12 Week 3,1602.0,18,89.0,https://codecanyon.net/item/mailwizz-email-marketing-application/6122150,4.8,790,Home / Files / PHP Scripts,"bounce, bulk email, bulk mailer, campaign, campaign email, campaign monitor, email, mail, mailchimp, mailer, mailpoet, marketing, newsletter, newsletter email, templates"
2025-12 Week 3,1311.0,19,69.0,https://codecanyon.net/item/real3d-flipbook-wordpress-plugin/6942587,4.57,550,Home / Files / WordPress / Galleries,"flip book, flipbook, flipbook wordpress, online catalog, online magazine, page flip, page turn, pdf, pdf embed, PDF Embedder, pdf flipbook, pdf viewer, PDF viewer wordpress, responsive flipbook, wordpress flipbook"
2025-12 Week 3,1298.0,22,59.0,https://codecanyon.net/item/fancy-product-designer-woocommercewordpress/6318393,4.47,810,Home / Files / WordPress / eCommerce / WooCommerce / Products,"custom product design, ecommerce, html5, jquery, Online Product Design Tool, product configurator, product designer, T-shirt Designer, wordpress T-shirt Designer"
2025-12 Week 3,1106.0,14,79.0,https://codecanyon.net/item/sms-gateway/21419519,4.97,188,Home / Files / PHP Scripts / Miscellaneous,"android app, api, bulk sms, host, mms, MMS Gateway, mobile, saas platform, service provider, sms gateway, sms marketing, tool, USSD, white label"
2025-12 Week 3,1092.0,28,39.0,https://codecanyon.net/item/ultimate-addons-for-visual-composer/6892199,4.74,2,Home / Files / WordPress / Add-ons,"addon, addons, extensions, visual composer, visual composer addon, visual composer addons, visual composer extension, visual composer wpbakery, wpbakery, wpbakery addon, wpbakery addons, wpbakery builder, wpbakery extension, wpbakery visual composer"
